challenge_level,difference,difficulty,random_value,won,old_estimated_level,new_estimated_level,temporary_levels
2,0,0.50,0.43,false,1.80,1.80,[2 2 1 1 3]
1,1,0.35,0.51,true,1.80,1.80,[2 2 1 1 3]
2,0,0.50,0.33,false,1.80,1.80,[2 2 1 1 3]
2,0,0.50,0.60,true,1.80,2.00,[2 1 1 3 3]
2,0,0.50,0.14,false,2.00,1.80,[1 1 3 3 1]
1,1,0.35,0.69,true,1.80,1.80,[1 1 3 3 1]
1,1,0.35,0.46,true,1.80,1.80,[1 1 3 3 1]
2,0,0.50,0.86,true,1.80,2.20,[1 3 3 1 3]
2,0,0.50,1.00,true,2.20,2.20,[1 3 3 1 3]
3,-1,0.65,0.62,false,2.20,2.20,[1 3 3 1 3]
2,0,0.50,0.42,false,2.20,2.20,[3 3 1 3 1]
3,-1,0.65,0.53,false,2.20,2.20,[3 3 1 3 1]
3,-1,0.65,0.05,false,2.20,2.20,[3 3 1 3 1]
3,-1,0.65,0.56,false,2.20,2.20,[3 3 1 3 1]
2,0,0.50,0.09,false,2.20,1.80,[3 1 3 1 1]
1,1,0.35,0.14,false,1.80,1.20,[1 3 1 1 0]
2,0,0.50,0.06,false,1.20,1.20,[1 3 1 1 0]
2,0,0.50,0.45,false,1.20,1.20,[1 3 1 1 0]
1,1,0.35,0.96,true,1.20,1.20,[1 3 1 1 0]
2,0,0.50,0.75,true,1.20,1.60,[3 1 1 0 3]
2,0,0.50,0.71,true,1.60,1.60,[1 1 0 3 3]
1,1,0.35,0.27,false,1.60,1.40,[1 0 3 3 0]
2,0,0.50,0.87,true,1.40,1.80,[0 3 3 0 3]
1,1,0.35,0.52,true,1.80,1.80,[0 3 3 0 3]
1,1,0.35,0.57,true,1.80,1.80,[0 3 3 0 3]
1,1,0.35,0.88,true,1.80,1.80,[0 3 3 0 3]
2,0,0.50,0.87,true,1.80,2.40,[3 3 0 3 3]
3,-1,0.65,0.86,true,2.40,2.60,[3 0 3 3 4]
2,0,0.50,0.43,false,2.60,2.20,[0 3 3 4 1]
3,-1,0.65,0.99,true,2.20,3.00,[3 3 4 1 4]
3,-1,0.65,0.19,false,3.00,2.80,[3 4 1 4 2]
3,-1,0.65,0.24,false,2.80,2.80,[3 4 1 4 2]
2,0,0.50,0.22,false,2.80,2.40,[4 1 4 2 1]
3,-1,0.65,0.51,false,2.40,2.40,[4 1 4 2 1]
2,0,0.50,0.76,true,2.40,2.40,[4 1 4 2 1]
3,-1,0.65,0.46,false,2.40,2.40,[4 1 4 2 1]
2,0,0.50,0.60,true,2.40,2.40,[4 1 4 2 1]
3,-1,0.65,0.15,false,2.40,2.40,[4 1 4 2 1]
3,-1,0.65,0.36,false,2.40,2.40,[4 1 4 2 1]
3,-1,0.65,0.06,false,2.40,2.40,[4 1 4 2 1]
3,-1,0.65,0.28,false,2.40,2.40,[4 1 4 2 1]
2,0,0.50,0.93,true,2.40,2.40,[4 1 4 2 1]
3,-1,0.65,0.86,true,2.40,2.40,[1 4 2 1 4]
2,0,0.50,0.59,true,2.40,2.40,[1 4 2 1 4]
3,-1,0.65,0.08,false,2.40,2.40,[1 4 2 1 4]
2,0,0.50,0.15,false,2.40,2.40,[4 2 1 4 1]
3,-1,0.65,0.10,false,2.40,2.40,[4 2 1 4 1]
3,-1,0.65,0.82,true,2.40,2.40,[2 1 4 1 4]
3,-1,0.65,0.49,false,2.40,2.40,[2 1 4 1 4]
3,-1,0.65,0.11,false,2.40,2.40,[2 1 4 1 4]
3,-1,0.65,0.72,true,2.40,2.80,[1 4 1 4 4]
2,0,0.50,0.06,false,2.80,2.80,[4 1 4 4 1]
2,0,0.50,0.87,true,2.80,2.80,[4 1 4 4 1]
2,0,0.50,0.25,false,2.80,2.20,[1 4 4 1 1]
2,0,0.50,0.15,false,2.20,2.20,[4 4 1 1 1]
3,-1,0.65,0.30,false,2.20,2.20,[4 4 1 1 1]
2,0,0.50,0.36,false,2.20,1.60,[4 1 1 1 1]
2,0,0.50,0.54,true,1.60,1.40,[1 1 1 1 3]
1,1,0.35,0.87,true,1.40,1.40,[1 1 1 1 3]
1,1,0.35,0.39,true,1.40,1.40,[1 1 1 1 3]
2,0,0.50,0.65,true,1.40,1.80,[1 1 1 3 3]
2,0,0.50,0.21,false,1.80,1.80,[1 1 1 3 3]
1,1,0.35,0.81,true,1.80,1.80,[1 1 1 3 3]
1,1,0.35,0.33,false,1.80,1.60,[1 1 3 3 0]
2,0,0.50,0.11,false,1.60,1.60,[1 1 3 3 0]
1,1,0.35,0.49,true,1.60,1.60,[1 1 3 3 0]
1,1,0.35,0.88,true,1.60,1.60,[1 1 3 3 0]
1,1,0.35,0.24,false,1.60,1.40,[1 3 3 0 0]
